is_enabled;minute;hour;day_of_week
1;0;0;1
1;15;0;1
1;30;0;1
1;45;0;1
1;0;1;1
1;15;1;1
1;30;1;1
1;45;1;1
1;0;2;1
1;15;2;1
1;30;2;1
1;45;2;1
1;0;3;1
1;15;3;1
1;30;3;1
1;45;3;1
1;0;4;1
1;15;4;1
1;30;4;1
1;45;4;1
1;0;5;1
1;15;5;1
1;30;5;1
1;45;5;1
1;0;6;1
1;15;6;1
1;30;6;1
1;45;6;1
1;0;7;1
1;15;7;1
1;30;7;1
1;45;7;1
1;0;8;1
1;15;8;1
1;30;8;1
1;45;8;1
1;0;9;1
1;15;9;1
1;30;9;1
1;45;9;1
1;0;10;1
1;15;10;1
1;30;10;1
1;45;10;1
1;0;11;1
1;15;11;1
1;30;11;1
1;45;11;1
1;0;12;1
1;15;12;1
1;30;12;1
1;45;12;1
1;0;13;1
1;15;13;1
1;30;13;1
1;45;13;1
1;0;14;1
1;15;14;1
1;30;14;1
1;45;14;1
1;0;15;1
1;15;15;1
1;30;15;1
1;45;15;1
1;0;16;1
1;15;16;1
1;30;16;1
1;45;16;1
1;0;17;1
1;15;17;1
1;30;17;1
1;45;17;1
1;0;18;1
1;15;18;1
1;30;18;1
1;45;18;1
1;0;19;1
1;15;19;1
1;30;19;1
1;45;19;1
1;0;20;1
1;15;20;1
1;30;20;1
1;45;20;1
1;0;21;1
1;15;21;1
1;30;21;1
1;45;21;1
1;0;22;1
1;15;22;1
1;30;22;1
1;45;22;1
1;0;23;1
1;15;23;1
1;30;23;1
1;45;23;1
1;0;0;2
1;15;0;2
1;30;0;2
1;45;0;2
1;0;1;2
1;15;1;2
1;30;1;2
1;45;1;2
1;0;2;2
1;15;2;2
1;30;2;2
1;45;2;2
1;0;3;2
1;15;3;2
1;30;3;2
1;45;3;2
1;0;4;2
1;15;4;2
1;30;4;2
1;45;4;2
1;0;5;2
1;15;5;2
1;30;5;2
1;45;5;2
1;0;6;2
1;15;6;2
1;30;6;2
1;45;6;2
1;0;7;2
1;15;7;2
1;30;7;2
1;45;7;2
1;0;8;2
1;15;8;2
1;30;8;2
1;45;8;2
1;0;9;2
1;15;9;2
1;30;9;2
1;45;9;2
1;0;10;2
1;15;10;2
1;30;10;2
1;45;10;2
1;0;11;2
1;15;11;2
1;30;11;2
1;45;11;2
1;0;12;2
1;15;12;2
1;30;12;2
1;45;12;2
1;0;13;2
1;15;13;2
1;30;13;2
1;45;13;2
1;0;14;2
1;15;14;2
1;30;14;2
1;45;14;2
1;0;15;2
1;15;15;2
1;30;15;2
1;45;15;2
1;0;16;2
1;15;16;2
1;30;16;2
1;45;16;2
1;0;17;2
1;15;17;2
1;30;17;2
1;45;17;2
1;0;18;2
1;15;18;2
1;30;18;2
1;45;18;2
1;0;19;2
1;15;19;2
1;30;19;2
1;45;19;2
1;0;20;2
1;15;20;2
1;30;20;2
1;45;20;2
1;0;21;2
1;15;21;2
1;30;21;2
1;45;21;2
1;0;22;2
1;15;22;2
1;30;22;2
1;45;22;2
1;0;23;2
1;15;23;2
1;30;23;2
1;45;23;2
1;0;0;3
1;15;0;3
1;30;0;3
1;45;0;3
1;0;1;3
1;15;1;3
1;30;1;3
1;45;1;3
1;0;2;3
1;15;2;3
1;30;2;3
1;45;2;3
1;0;3;3
1;15;3;3
1;30;3;3
1;45;3;3
1;0;4;3
1;15;4;3
1;30;4;3
1;45;4;3
1;0;5;3
1;15;5;3
1;30;5;3
1;45;5;3
1;0;6;3
1;15;6;3
1;30;6;3
1;45;6;3
1;0;7;3
1;15;7;3
1;30;7;3
1;45;7;3
1;0;8;3
1;15;8;3
1;30;8;3
1;45;8;3
1;0;9;3
1;15;9;3
1;30;9;3
1;45;9;3
1;0;10;3
1;15;10;3
1;30;10;3
1;45;10;3
1;0;11;3
1;15;11;3
1;30;11;3
1;45;11;3
1;0;12;3
1;15;12;3
1;30;12;3
1;45;12;3
1;0;13;3
1;15;13;3
1;30;13;3
1;45;13;3
1;0;14;3
1;15;14;3
1;30;14;3
1;45;14;3
1;0;15;3
1;15;15;3
1;30;15;3
1;45;15;3
1;0;16;3
1;15;16;3
1;30;16;3
1;45;16;3
1;0;17;3
1;15;17;3
1;30;17;3
1;45;17;3
1;0;18;3
1;15;18;3
1;30;18;3
1;45;18;3
1;0;19;3
1;15;19;3
1;30;19;3
1;45;19;3
1;0;20;3
1;15;20;3
1;30;20;3
1;45;20;3
1;0;21;3
1;15;21;3
1;30;21;3
1;45;21;3
1;0;22;3
1;15;22;3
1;30;22;3
1;45;22;3
1;0;23;3
1;15;23;3
1;30;23;3
1;45;23;3
1;0;0;4
1;15;0;4
1;30;0;4
1;45;0;4
1;0;1;4
1;15;1;4
1;30;1;4
1;45;1;4
1;0;2;4
1;15;2;4
1;30;2;4
1;45;2;4
1;0;3;4
1;15;3;4
1;30;3;4
1;45;3;4
1;0;4;4
1;15;4;4
1;30;4;4
1;45;4;4
1;0;5;4
1;15;5;4
1;30;5;4
1;45;5;4
1;0;6;4
1;15;6;4
1;30;6;4
1;45;6;4
1;0;7;4
1;15;7;4
1;30;7;4
1;45;7;4
1;0;8;4
1;15;8;4
1;30;8;4
1;45;8;4
1;0;9;4
1;15;9;4
1;30;9;4
1;45;9;4
1;0;10;4
1;15;10;4
1;30;10;4
1;45;10;4
1;0;11;4
1;15;11;4
1;30;11;4
1;45;11;4
1;0;12;4
1;15;12;4
1;30;12;4
1;45;12;4
1;0;13;4
1;15;13;4
1;30;13;4
1;45;13;4
1;0;14;4
1;15;14;4
1;30;14;4
1;45;14;4
1;0;15;4
1;15;15;4
1;30;15;4
1;45;15;4
1;0;16;4
1;15;16;4
1;30;16;4
1;45;16;4
1;0;17;4
1;15;17;4
1;30;17;4
1;45;17;4
1;0;18;4
1;15;18;4
1;30;18;4
1;45;18;4
1;0;19;4
1;15;19;4
1;30;19;4
1;45;19;4
1;0;20;4
1;15;20;4
1;30;20;4
1;45;20;4
1;0;21;4
1;15;21;4
1;30;21;4
1;45;21;4
1;0;22;4
1;15;22;4
1;30;22;4
1;45;22;4
1;0;23;4
1;15;23;4
